ID,Name,SearchURL,Player,Date,Year,Month,Day,Club,MarketValue,€ Unit,Avg Year MV
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2025-06-12,2025,06,12,Manchester City,27.0,M,24.666666666666668
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2025-05-27,2025,05,27,Manchester City,21.0,M,24.666666666666668
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2025-03-15,2025,03,15,Manchester City,26.0,M,24.666666666666668
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2024-12-01,2024,12,01,Manchester City,36.0,M,45.0
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2024-10-13,2024,10,13,Manchester City,47.0,M,45.0
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2024-06-28,2024,06,28,Manchester City,52.0,M,45.0
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2023-11-30,2023,11,30,Manchester City,62.0,M,64.5
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2023-07-10,2023,07,10,Manchester City,67.0,M,64.5
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2022-10-18,2022,10,18,Manchester City,82.0,M,82.5
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2022-05-22,2022,05,22,Manchester City,83.0,M,82.5
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2021-11-28,2021,11,28,Manchester City,93.0,M,96.0
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2021-05-24,2021,05,24,Manchester City,97.0,M,96.0
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2021-03-28,2021,03,28,Manchester City,98.0,M,96.0
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2020-09-22,2020,09,22,Manchester City,125.0,M,120.0
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2020-04-14,2020,04,14,Manchester City,115.0,M,120.0
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2019-12-25,2019,12,25,Manchester City,155.0,M,140.0
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2019-05-24,2019,05,24,Manchester City,125.0,M,140.0
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2018-12-21,2018,12,21,Manchester City,145.0,M,131.66666666666666
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2018-05-14,2018,05,14,Manchester City,145.0,M,131.66666666666666
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2018-01-17,2018,01,17,Manchester City,105.0,M,131.66666666666666
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2017-09-24,2017,09,24,Manchester City,78.0,M,71.0
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2017-07-01,2017,07,01,Manchester City,68.0,M,71.0
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2017-01-29,2017,01,29,Manchester City,67.0,M,71.0
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2016-07-28,2016,07,28,Manchester City,58.0,M,59.666666666666664
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2016-06-06,2016,06,06,Manchester City,63.0,M,59.666666666666664
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2016-01-31,2016,01,31,Manchester City,58.0,M,59.666666666666664
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2015-10-27,2015,10,27,Manchester City,62.0,M,41.5
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2015-06-11,2015,06,11,Wolfsburg,43.0,M,41.5
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2015-04-15,2015,04,15,Wolfsburg,34.0,M,41.5
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2015-02-22,2015,02,22,Wolfsburg,27.0,M,41.5
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2014-06-11,2014,06,11,Wolfsburg,21.0,M,18.333333333333332
192985,K. De Bruyne,https://www.google.com/search?q=K.+Bruyne+zerozero+valor-de-mercado,11.Kevin De Bruyne,2014-02-28,2014,02,28,Wolfsburg,18.0,M,18.333333333333332
